id,quote,image,tag,likes,author
48,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",https://images.gr-assets.com/authors/1255518412p2/1049.jpg,apathy,39207,Elie Wiesel
49,"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",https://images.gr-assets.com/authors/1455294131p2/1938.jpg,lack-of-friendship,39141,Friedrich Nietzsche
50,If you don't stand for something you will fall for anything.,,integrity,38179,Gordon A. Eadie
51,"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",https://images.gr-assets.com/authors/1189120061p2/4.jpg,navigation,37809,douglas adams
52,I solemnly swear that I am up to no good.,https://images.gr-assets.com/authors/1510435123p2/1077326.jpg,mischief,37566,J.K. Rowling
53,"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",https://images.gr-assets.com/authors/1499982432p2/4026.jpg,poetry,36934,Pablo Neruda
54,"Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.",https://images.gr-assets.com/authors/1198590177p2/43244.jpg,books,36856,Groucho Marx
55,I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,https://images.gr-assets.com/authors/1429114964p2/9810.jpg,imagination,36395,Albert Einstein
56,"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",https://images.gr-assets.com/authors/1193930952p2/61105.jpg,fantasy,35711,Dr. Seuss
57,"Love all, trust a few, do wrong to none.",https://images.gr-assets.com/authors/1424313573p2/947.jpg,love,35061,William Shakespeare
58,Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.,https://images.gr-assets.com/authors/1234150163p2/1221698.jpg,love,34765,Neil Gaiman
59,"A day without sunshine is like, you know, night.",https://images.gr-assets.com/authors/1410018030p2/7103.jpg,obvious,34684,Steve Martin
60,Never put off till tomorrow what may be done day after tomorrow just as well.,https://images.gr-assets.com/authors/1322103868p2/1244.jpg,procrastination,33664,Mark Twain
61,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",https://images.gr-assets.com/authors/1563055799p2/346732.jpg,readers,33230,George R.R. Martin
62,You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...,https://images.gr-assets.com/authors/1193930952p2/61105.jpg,inspirational,33214,Dr. Seuss
63,That which does not kill us makes us stronger.,https://images.gr-assets.com/authors/1455294131p2/1938.jpg,strength,32857,Friedrich Nietzsche
64,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",https://images.gr-assets.com/authors/1435903703p2/2622245.jpg,deeply-loved,32172,Lao Tzu
65,For every minute you are angry you lose sixty seconds of happiness.,https://images.gr-assets.com/authors/1393555704p2/12080.jpg,happiness,31735,Ralph Waldo Emerson
66,It is never too late to be what you might have been.,https://images.gr-assets.com/authors/1576393431p2/173.jpg,source-unknown,31688,George Eliot
67,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",https://images.gr-assets.com/authors/1510435123p2/1077326.jpg,friends,31577,J.K. Rowling
68,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",https://images.gr-assets.com/authors/1436929110p2/82952.jpg,friends,31198,Marilyn Monroe
69,"If you judge people, you have no time to love them.",https://images.gr-assets.com/authors/1263888735p2/838305.jpg,attributed-no-source,31055,Mother Teresa
70,I love deadlines. I love the whooshing noise they make as they go by.,https://images.gr-assets.com/authors/1189120061p2/4.jpg,humor,31028,Douglas Adams
71,"There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.",https://images.gr-assets.com/authors/1372181953p2/2987.jpg,love,30782,Sarah Dessen
72,"If you can't explain it to a six year old, you don't understand it yourself.",https://images.gr-assets.com/authors/1429114964p2/9810.jpg,simplicity,29702,Albert Einstein
73,Love is that condition in which the happiness of another person is essential to your own.,https://images.gr-assets.com/authors/1192826560p2/205.jpg,happiness,29444,Robert A. Heinlein
74,"I'm not upset that you lied to me, I'm upset that from now on I can't believe you.",https://images.gr-assets.com/authors/1455294131p2/1938.jpg,lying,29367,Friedrich Nietzsche
75,Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,https://images.gr-assets.com/authors/1259697704p2/2014.jpg,religion,29087,Garrison Keillor
76,There is no greater agony than bearing an untold story inside you.,https://images.gr-assets.com/authors/1379017377p2/3503.jpg,inspirational,29046,Maya Angelou
77,I have always imagined that Paradise will be a kind of library.,https://images.gr-assets.com/quotes/1392103489p2/7572.jpg,library,28638,Jorge Luis Borges
78,Everything you can imagine is real.,https://images.gr-assets.com/authors/1198536109p2/3253.jpg,imagination,28133,Pablo Picasso
79,"Women and cats will do as they please, and men and dogs should relax and get used to the idea.",https://images.gr-assets.com/authors/1192826560p2/205.jpg,humor,27988,Robert A. Heinlein
80,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.",https://images.gr-assets.com/authors/1539035376p2/3354.jpg,thought,27607,Haruki Murakami
81,Sometimes the questions are complicated and the answers are simple.,https://images.gr-assets.com/authors/1193930952p2/61105.jpg,life,27173,Dr. Seuss
82,"You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfectyou aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can breakher heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.",https://images.gr-assets.com/authors/1207771636p2/25241.jpg,love,27146,Bob Marley
83,We read to know we're not alone.,https://images.gr-assets.com/quotes/1397581529p2/9590.jpg,reading,26697,William Nicholson
84,You love me. Real or not real?,https://images.gr-assets.com/authors/1530308375p2/153394.jpg,love,26671,Suzanne Collins
85,Never trust anyone who has not brought a book with them.,https://images.gr-assets.com/quotes/1376429298p2/13146.jpg,reading,26551,Lemony Snicket
86,You can never get a cup of tea large enough or a book long enough to suit me.,https://images.gr-assets.com/authors/1564671804p2/1069006.jpg,inspirational,26209,C.S. Lewis
87,"Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.",https://images.gr-assets.com/authors/1353452301p2/1406384.jpg,power-of-words,26202,John Green
88,All you need is love. But a little chocolate now and then doesn't hurt.,https://images.gr-assets.com/authors/1198590750p2/209672.jpg,food,26186,Charles M. Schulz
89,Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,https://images.gr-assets.com/authors/1208316138p2/4427.jpg,humor,25894,Jim Henson
90,"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",https://images.gr-assets.com/authors/1510435123p2/1077326.jpg,dumbledore,25849,J.K. Rowling
91,"Today you are You, that is truer than true. There is no one alive who is Youer than You.",https://images.gr-assets.com/authors/1193930952p2/61105.jpg,life,25358,Dr. Seuss
92,"To the well-organized mind, death is but the next great adventure.",https://images.gr-assets.com/authors/1510435123p2/1077326.jpg,inspirational,24898,J.K. Rowling
93,I'm not afraid of death; I just don't want to be there when it happens.,https://images.gr-assets.com/authors/1527790696p2/10356.jpg,fear,24730,Woody Allen
94,Life isn't about finding yourself. Life is about creating yourself.,https://images.gr-assets.com/authors/1271683549p2/5217.jpg,life,24480,George Bernard Shaw
95,"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.",https://images.gr-assets.com/authors/1429114964p2/9810.jpg,children,24467,Albert Einstein
96,"If one cannot enjoy reading a book over and over again, there is no use in reading it at all.",https://images.gr-assets.com/quotes/1488565330p2/6856.jpg,reading,24389,Oscar Wilde
97,Have you fallen in love with the wrong person yet?',https://images.gr-assets.com/authors/1270502031p2/150038.jpg,jace,24296,Cassandra Clare
98,"Whenever I feel the need to exercise, I lie down until it goes away.",,humor,23959,Paul   Terry
99,"I'm in love with you, he said quietly.",https://images.gr-assets.com/authors/1353452301p2/1406384.jpg,inevitable,23921,John Green
100,Logic will get you from A to Z; imagination will get you everywhere.,https://images.gr-assets.com/authors/1429114964p2/9810.jpg,imagination,23920,Albert Einstein
